FEN,Move,ELO,CPL,Is_Cheating,ELO_Range
8/1Rp2ppp/6k1/8/2b4P/2P3N1/2Pr1PPK/8 b - - 0 27,c4d5,-1,2,1,
8/1Rp2ppp/6k1/3b4/7P/2P3N1/2Pr1PPK/8 w - - 1 28,b7c7,1003,96,0,1001-1500
8/2R2ppp/6k1/3b4/7P/2P3N1/2Pr1PPK/8 b - - 0 28,d2c2,-1,177,0,
8/2R2ppp/6k1/3b4/7P/2P3N1/2r2PPK/8 w - - 0 29,h4h5,1003,61,0,1001-1500
8/2R2ppp/6k1/3b3P/8/2P3N1/2r2PPK/8 b - - 0 29,g6g5,-1,448,0,
8/2R2ppp/8/3b2kP/8/2P3N1/2r2PPK/8 w - - 1 30,c7c5,1003,6,0,1001-1500
8/5ppp/8/2Rb2kP/8/2P3N1/2r2PPK/8 b - - 2 30,c2f2,-1,93,0,
8/5ppp/8/2Rb2kP/8/2P3N1/5rPK/8 w - - 0 31,g3e4,1003,4,1,1001-1500
8/5ppp/8/2Rb2kP/4N3/2P5/5rPK/8 b - - 1 31,g5f4,-1,35,0,
8/5ppp/8/2Rb3P/4Nk2/2P5/5rPK/8 w - - 2 32,e4f2,1003,14,0,1001-1500
8/5ppp/8/2Rb3P/5k2/2P5/5NPK/8 b - - 0 32,f4e3,-1,183,0,
8/5ppp/8/2Rb3P/8/2P1k3/5NPK/8 w - - 1 33,c5d5,1003,3,0,1001-1500
8/5ppp/8/3R3P/8/2P1k3/5NPK/8 b - - 0 33,e3f4,-1,322,1,
8/5ppp/8/3R3P/5k2/2P5/5NPK/8 w - - 1 34,g2g3,1003,109,1,1001-1500
8/5ppp/8/3R3P/5k2/2P3P1/5N1K/8 b - - 0 34,f4f3,-1,8,0,
8/5ppp/8/3R3P/8/2P2kP1/5N1K/8 w - - 1 35,d5f5,1003,54,0,1001-1500
8/5ppp/8/5R1P/8/2P2kP1/5N1K/8 b - - 2 35,f3e3,-1,11,0,
8/5ppp/8/5R1P/8/2P1k1P1/5N1K/8 w - - 3 36,f5f7,1003,262,0,1001-1500
8/5Rpp/8/7P/8/2P1k1P1/5N1K/8 b - - 0 36,g7g6,-1,443,0,
8/5R1p/6p1/7P/8/2P1k1P1/5N1K/8 w - - 0 37,h5g6,1003,367,0,1001-1500
8/5R1p/6P1/8/8/2P1k1P1/5N1K/8 b - - 0 37,h7g6,-1,236,0,
8/5R2/6p1/8/8/2P1k1P1/5N1K/8 w - - 0 38,f7f6,1003,59,1,1001-1500
8/8/5Rp1/8/8/2P1k1P1/5N1K/8 b - - 1 38,g6g5,-1,28,1,
8/8/5R2/6p1/8/2P1k1P1/5N1K/8 w - - 0 39,c3c4,1003,3,0,1001-1500
8/8/5R2/6p1/2P5/4k1P1/5N1K/8 b - - 0 39,e3d4,-1,30,1,
8/8/5R2/6p1/2Pk4/6P1/5N1K/8 w - - 1 40,f6f5,1003,45,1,1001-1500
8/8/8/5Rp1/2Pk4/6P1/5N1K/8 b - - 2 40,d4c4,-1,24,1,
8/8/8/5Rp1/2k5/6P1/5N1K/8 w - - 0 41,f5g5,1003,4106,0,1001-1500
8/8/8/6R1/2k5/6P1/5N1K/8 b - - 0 41,c4d4,-1,4166,0,
8/8/8/6R1/3k4/6P1/5N1K/8 w - - 1 42,g3g4,1003,2,1,1001-1500
8/8/8/6R1/3k2P1/8/5N1K/8 b - - 0 42,d4e3,-1,1,0,
8/8/8/6R1/6P1/4k3/5N1K/8 w - - 1 43,g5f5,1003,4,0,1001-1500
8/8/8/5R2/6P1/4k3/5N1K/8 b - - 2 43,e3d4,-1,2,0,
8/8/8/5R2/3k2P1/8/5N1K/8 w - - 3 44,g4g5,1003,0,1,1001-1500
8/8/8/5RP1/3k4/8/5N1K/8 b - - 0 44,d4e3,-1,1,0,
8/8/8/5RP1/8/4k3/5N1K/8 w - - 1 45,g5g6,1003,0,0,1001-1500
8/8/6P1/5R2/8/4k3/5N1K/8 b - - 0 45,e3d4,-1,3,0,
8/8/6P1/5R2/3k4/8/5N1K/8 w - - 1 46,g6g7,1003,0,0,1001-1500
8/6P1/8/5R2/3k4/8/5N1K/8 b - - 0 46,d4e3,-1,3,0,
8/6P1/8/5R2/8/4k3/5N1K/8 w - - 1 47,g7g8q,1003,1,0,1001-1500
6Q1/8/8/5R2/8/4k3/5N1K/8 b - - 0 47,e3d2,-1,1,1,
6Q1/8/8/5R2/8/8/3k1N1K/8 w - - 1 48,g8e8,1003,2,0,1001-1500
4Q3/8/8/5R2/8/8/3k1N1K/8 b - - 2 48,d2c3,-1,0,0,
4Q3/8/8/5R2/8/2k5/5N1K/8 w - - 3 49,f5d5,1003,0,0,1001-1500
4Q3/8/8/3R4/8/2k5/5N1K/8 b - - 4 49,c3c4,-1,0,0,
4Q3/8/8/3R4/2k5/8/5N1K/8 w - - 5 50,e8c6,1003,0,0,1001-1500
8/8/2Q5/3R4/2k5/8/5N1K/8 b - - 6 50,c4b3,-1,0,1,
8/8/2Q5/3R4/8/1k6/5N1K/8 w - - 7 51,d5b5,1003,0,1,1001-1500
8/8/2Q5/1R6/8/1k6/5N1K/8 b - - 8 51,b3a4,-1,0,1,
8/8/2Q5/1R6/k7/8/5N1K/8 w - - 9 52,c6a6,1003,0,0,1001-1500
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,d2d4,1003,2,0,1001-1500
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,e7e5,-1,76,0,
rnbqkbnr/pppp1ppp/8/4p3/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,d4e5,1003,3,0,1001-1500
rnbqkbnr/pppp1ppp/8/4P3/8/8/PPP1PPPP/RNBQKBNR b KQkq - 0 2,f7f6,-1,5,0,
rnbqkbnr/pppp2pp/5p2/4P3/8/8/PPP1PPPP/RNBQKBNR w KQkq - 0 3,e5f6,1003,28,0,1001-1500
rnbqkbnr/pppp2pp/5P2/8/8/8/PPP1PPPP/RNBQKBNR b KQkq - 0 3,g8f6,-1,12,0,
rnbqkb1r/pppp2pp/5n2/8/8/8/PPP1PPPP/RNBQKBNR w KQkq - 0 4,b1c3,1003,17,0,1001-1500
rnbqkb1r/pppp2pp/5n2/8/8/2N5/PPP1PPPP/R1BQKBNR b KQkq - 1 4,g7g6,-1,116,0,
rnbqkb1r/pppp3p/5np1/8/8/2N5/PPP1PPPP/R1BQKBNR w KQkq - 0 5,e2e4,1003,17,0,1001-1500
rnbqkb1r/pppp3p/5np1/8/4P3/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 5,f8g7,-1,123,0,
rnbqk2r/pppp2bp/5np1/8/4P3/2N5/PPP2PPP/R1BQKBNR w KQkq - 1 6,f1d3,1003,184,0,1001-1500
rnbqk2r/pppp2bp/5np1/8/4P3/2NB4/PPP2PPP/R1BQK1NR b KQkq - 2 6,e8g8,-1,3,0,
rnbq1rk1/pppp2bp/5np1/8/4P3/2NB4/PPP2PPP/R1BQK1NR w KQ - 3 7,g1f3,1003,0,0,1001-1500
rnbq1rk1/pppp2bp/5np1/8/4P3/2NB1N2/PPP2PPP/R1BQK2R b KQ - 4 7,d7d5,-1,42,0,
rnbq1rk1/ppp3bp/5np1/3p4/4P3/2NB1N2/PPP2PPP/R1BQK2R w KQ - 0 8,e4d5,1003,12,0,1001-1500
rnbq1rk1/ppp3bp/5np1/3P4/8/2NB1N2/PPP2PPP/R1BQK2R b KQ - 0 8,f6d5,-1,72,0,
rnbq1rk1/ppp3bp/6p1/3n4/8/2NB1N2/PPP2PPP/R1BQK2R w KQ - 0 9,c3d5,1003,128,0,1001-1500
rnbq1rk1/ppp3bp/6p1/3N4/8/3B1N2/PPP2PPP/R1BQK2R b KQ - 0 9,d8d5,-1,0,0,
rnb2rk1/ppp3bp/6p1/3q4/8/3B1N2/PPP2PPP/R1BQK2R w KQ - 0 10,e1g1,1003,5,0,1001-1500
rnb2rk1/ppp3bp/6p1/3q4/8/3B1N2/PPP2PPP/R1BQ1RK1 b - - 1 10,c8g4,-1,14,0,
rn3rk1/ppp3bp/6p1/3q4/6b1/3B1N2/PPP2PPP/R1BQ1RK1 w - - 2 11,d3e2,1003,0,0,1001-1500
rn3rk1/ppp3bp/6p1/3q4/6b1/5N2/PPP1BPPP/R1BQ1RK1 b - - 3 11,d5d1,-1,10,0,
rn3rk1/ppp3bp/6p1/8/6b1/5N2/PPP1BPPP/R1Bq1RK1 w - - 0 12,f1d1,1003,10,0,1001-1500
rn3rk1/ppp3bp/6p1/8/6b1/5N2/PPP1BPPP/R1BR2K1 b - - 0 12,b8c6,-1,32,0,
r4rk1/ppp3bp/2n3p1/8/6b1/5N2/PPP1BPPP/R1BR2K1 w - - 1 13,g1f1,1003,17,1,1001-1500
r4rk1/ppp3bp/2n3p1/8/6b1/5N2/PPP1BPPP/R1BR1K2 b - - 2 13,h7h6,-1,16,1,
r4rk1/ppp3b1/2n3pp/8/6b1/5N2/PPP1BPPP/R1BR1K2 w - - 0 14,h2h3,1003,0,0,1001-1500
r4rk1/ppp3b1/2n3pp/8/6b1/5N1P/PPP1BPP1/R1BR1K2 b - - 0 14,g4f3,-1,122,0,
r4rk1/ppp3b1/2n3pp/8/8/5b1P/PPP1BPP1/R1BR1K2 w - - 0 15,e2f3,1003,0,0,1001-1500
r4rk1/ppp3b1/2n3pp/8/8/5B1P/PPP2PP1/R1BR1K2 b - - 0 15,c6d4,-1,75,0,
r4rk1/ppp3b1/6pp/8/3n4/5B1P/PPP2PP1/R1BR1K2 w - - 1 16,f3b7,1003,14,1,1001-1500
r4rk1/pBp3b1/6pp/8/3n4/7P/PPP2PP1/R1BR1K2 b - - 0 16,a8e8,-1,6,1,
4rrk1/pBp3b1/6pp/8/3n4/7P/PPP2PP1/R1BR1K2 w - - 1 17,b7d5,1003,15,0,1001-1500
4rrk1/p1p3b1/6pp/3B4/3n4/7P/PPP2PP1/R1BR1K2 b - - 2 17,g8h8,-1,4,0,
4rr1k/p1p3b1/6pp/3B4/3n4/7P/PPP2PP1/R1BR1K2 w - - 3 18,c2c3,1003,10,0,1001-1500
4rr1k/p1p3b1/6pp/3B4/3n4/2P4P/PP3PP1/R1BR1K2 b - - 0 18,d4c2,-1,22,0,
4rr1k/p1p3b1/6pp/3B4/8/2P4P/PPn2PP1/R1BR1K2 w - - 1 19,a1b1,1003,9,0,1001-1500
4rr1k/p1p3b1/6pp/3B4/8/2P4P/PPn2PP1/1RBR1K2 b - - 2 19,c2e3,-1,17,1,
4rr1k/p1p3b1/6pp/3B4/8/2P1n2P/PP3PP1/1RBR1K2 w - - 3 20,c1e3,1003,4,0,1001-1500
4rr1k/p1p3b1/6pp/3B4/8/2P1B2P/PP3PP1/1R1R1K2 b - - 0 20,e8e3,-1,1,0,
5r1k/p1p3b1/6pp/3B4/8/2P1r2P/PP3PP1/1R1R1K2 w - - 0 21,d1e1,1003,15,0,1001-1500
5r1k/p1p3b1/6pp/3B4/8/2P1r2P/PP3PP1/1R2RK2 b - - 1 21,e3d3,-1,35,1,
5r1k/p1p3b1/6pp/3B4/8/2Pr3P/PP3PP1/1R2RK2 w - - 2 22,d5e4,1003,3,0,1001-1500
5r1k/p1p3b1/6pp/8/4B3/2Pr3P/PP3PP1/1R2RK2 b - - 3 22,d3d2,-1,4,1,
5r1k/p1p3b1/6pp/8/4B3/2P4P/PP1r1PP1/1R2RK2 w - - 4 23,e4g6,1003,776,0,1001-1500
5r1k/p1p3b1/6Bp/8/8/2P4P/PP1r1PP1/1R2RK2 b - - 0 23,f8f2,-1,28,1,
7k/p1p3b1/6Bp/8/8/2P4P/PP1r1rP1/1R2RK2 w - - 0 24,f1g1,1003,17,0,1001-1500
7k/p1p3b1/6Bp/8/8/2P4P/PP1r1rP1/1R2R1K1 b - - 1 24,f2g2,-1,7,0,
7k/p1p3b1/6Bp/8/8/2P4P/PP1r2r1/1R2R1K1 w - - 0 25,g1h1,1003,7,1,1001-1500
7k/p1p3b1/6Bp/8/8/2P4P/PP1r2r1/1R2R2K b - - 1 25,g2h2,-1,31,1,
7k/p1p3b1/6Bp/8/8/2P4P/PP1r3r/1R2R2K w - - 2 26,h1g1,1003,2,0,1001-1500
7k/p1p3b1/6Bp/8/8/2P4P/PP1r3r/1R2R1K1 b - - 3 26,d2g2,-1,2,0,
7k/p1p3b1/6Bp/8/8/2P4P/PP4rr/1R2R1K1 w - - 4 27,g1f1,1003,22,0,1001-1500
7k/p1p3b1/6Bp/8/8/2P4P/PP4rr/1R2RK2 b - - 5 27,g2g6,-1,43,0,
7k/p1p3b1/6rp/8/8/2P4P/PP5r/1R2RK2 w - - 0 28,e1e8,1003,2,0,1001-1500
4R2k/p1p3b1/6rp/8/8/2P4P/PP5r/1R3K2 b - - 1 28,h8h7,-1,18,0,
4R3/p1p3bk/6rp/8/8/2P4P/PP5r/1R3K2 w - - 2 29,b1e1,1003,1,0,1001-1500
4R3/p1p3bk/6rp/8/8/2P4P/PP5r/4RK2 b - - 3 29,g6f6,-1,19,1,
4R3/p1p3bk/5r1p/8/8/2P4P/PP5r/4RK2 w - - 4 30,f1g1,1003,4,1,1001-1500
4R3/p1p3bk/5r1p/8/8/2P4P/PP5r/4R1K1 b - - 5 30,h2h3,-1,35,0,
4R3/p1p3bk/5r1p/8/8/2P4r/PP6/4R1K1 w - - 0 31,e1e7,1003,4,1,1001-1500
4R3/p1p1R1bk/5r1p/8/8/2P4r/PP6/6K1 b - - 1 31,f6g6,-1,2,1,
4R3/p1p1R1bk/6rp/8/8/2P4r/PP6/6K1 w - - 2 32,g1f2,1003,2,0,1001-1500
4R3/p1p1R1bk/6rp/8/8/2P4r/PP3K2/8 b - - 3 32,h3h2,-1,19,0,
4R3/p1p1R1bk/6rp/8/8/2P5/PP3K1r/8 w - - 4 33,f2f1,1003,12,1,1001-1500
4R3/p1p1R1bk/6rp/8/8/2P5/PP5r/5K2 b - - 5 33,g6d6,-1,24,1,
4R3/p1p1R1bk/3r3p/8/8/2P5/PP5r/5K2 w - - 6 34,f1g1,1003,41,0,1001-1500
4R3/p1p1R1bk/3r3p/8/8/2P5/PP5r/6K1 b - - 7 34,h2b2,-1,1,0,
4R3/p1p1R1bk/3r3p/8/8/2P5/Pr6/6K1 w - - 0 35,e7c7,1003,573,0,1001-1500
4R3/p1R3bk/3r3p/8/8/2P5/Pr6/6K1 b - - 0 35,d6d1,-1,0,0,
4R3/p1R3bk/7p/8/8/2P5/Pr6/3r2K1 w - - 1 36,e8e1,1003,0,1,1001-1500
8/p1R3bk/7p/8/8/2P5/Pr6/3rR1K1 b - - 2 36,d1e1,-1,0,0,
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4,1003,4,0,1001-1500
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,c7c6,-1,12,0,
rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,g1f3,1003,1,0,1001-1500
rnbqkbnr/pp1ppppp/2p5/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,d7d5,-1,6,0,
rnbqkbnr/pp2pppp/2p5/3p4/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,e4e5,1003,6,0,1001-1500
rnbqkbnr/pp2pppp/2p5/3pP3/8/5N2/PPPP1PPP/RNBQKB1R b KQkq - 0 3,e7e6,-1,37,0,
rnbqkbnr/pp3ppp/2p1p3/3pP3/8/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 4,d2d4,1003,2,0,1001-1500
rnbqkbnr/pp3ppp/2p1p3/3pP3/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 4,c6c5,-1,3,0,
rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 5,f3g5,1003,122,0,1001-1500
rnbqkbnr/pp3ppp/4p3/2ppP1N1/3P4/8/PPP2PPP/RNBQKB1R b KQkq - 1 5,b8c6,-1,35,0,
r1bqkbnr/pp3ppp/2n1p3/2ppP1N1/3P4/8/PPP2PPP/RNBQKB1R w KQkq - 2 6,f1b5,1003,45,0,1001-1500
r1bqkbnr/pp3ppp/2n1p3/1BppP1N1/3P4/8/PPP2PPP/RNBQK2R b KQkq - 3 6,f8e7,-1,52,0,
r1bqk1nr/pp2bppp/2n1p3/1BppP1N1/3P4/8/PPP2PPP/RNBQK2R w KQkq - 4 7,b5c6,1003,70,0,1001-1500
r1bqk1nr/pp2bppp/2B1p3/2ppP1N1/3P4/8/PPP2PPP/RNBQK2R b KQkq - 0 7,b7c6,-1,12,0,
r1bqk1nr/p3bppp/2p1p3/2ppP1N1/3P4/8/PPP2PPP/RNBQK2R w KQkq - 0 8,d1f3,1003,320,0,1001-1500
r1bqk1nr/p3bppp/2p1p3/2ppP1N1/3P4/5Q2/PPP2PPP/RNB1K2R b KQkq - 1 8,e7g5,-1,21,0,
r1bqk1nr/p4ppp/2p1p3/2ppP1b1/3P4/5Q2/PPP2PPP/RNB1K2R w KQkq - 0 9,c1g5,1003,26,0,1001-1500
r1bqk1nr/p4ppp/2p1p3/2ppP1B1/3P4/5Q2/PPP2PPP/RN2K2R b KQkq - 0 9,d8g5,-1,20,0,
r1b1k1nr/p4ppp/2p1p3/2ppP1q1/3P4/5Q2/PPP2PPP/RN2K2R w KQkq - 0 10,d4c5,1003,161,0,1001-1500
r1b1k1nr/p4ppp/2p1p3/2PpP1q1/8/5Q2/PPP2PPP/RN2K2R b KQkq - 0 10,g5c1,-1,17,0,
r1b1k1nr/p4ppp/2p1p3/2PpP3/8/5Q2/PPP2PPP/RNq1K2R w KQkq - 1 11,f3d1,1003,1,1,1001-1500
r1b1k1nr/p4ppp/2p1p3/2PpP3/8/8/PPP2PPP/RNqQK2R b KQkq - 2 11,c1b2,-1,23,1,
r1b1k1nr/p4ppp/2p1p3/2PpP3/8/8/PqP2PPP/RN1QK2R w KQkq - 0 12,b1d2,1003,1,1,1001-1500
r1b1k1nr/p4ppp/2p1p3/2PpP3/8/8/PqPN1PPP/R2QK2R b KQkq - 1 12,b2e5,-1,11,1,
r1b1k1nr/p4ppp/2p1p3/2Ppq3/8/8/P1PN1PPP/R2QK2R w KQkq - 0 13,e1f1,1003,7,1,1001-1500
r1b1k1nr/p4ppp/2p1p3/2Ppq3/8/8/P1PN1PPP/R2Q1K1R b kq - 1 13,e5c7,-1,1,1,
r1b1k1nr/p1q2ppp/2p1p3/2Pp4/8/8/P1PN1PPP/R2Q1K1R w kq - 2 14,d1g4,1003,23,1,1001-1500
r1b1k1nr/p1q2ppp/2p1p3/2Pp4/6Q1/8/P1PN1PPP/R4K1R b kq - 3 14,f7f6,-1,1,1,
r1b1k1nr/p1q3pp/2p1pp2/2Pp4/6Q1/8/P1PN1PPP/R4K1R w kq - 0 15,g4h5,1003,38,1,1001-1500
r1b1k1nr/p1q3pp/2p1pp2/2Pp3Q/8/8/P1PN1PPP/R4K1R b kq - 1 15,e8f8,-1,8,1,
r1b2knr/p1q3pp/2p1pp2/2Pp3Q/8/8/P1PN1PPP/R4K1R w - - 2 16,a1b1,1003,3,1,1001-1500
r1b2knr/p1q3pp/2p1pp2/2Pp3Q/8/8/P1PN1PPP/1R3K1R b - - 3 16,g7g6,-1,8,1,
r1b2knr/p1q4p/2p1ppp1/2Pp3Q/8/8/P1PN1PPP/1R3K1R w - - 0 17,h5f3,1003,17,1,1001-1500
r1b2knr/p1q4p/2p1ppp1/2Pp4/8/5Q2/P1PN1PPP/1R3K1R b - - 1 17,h7h5,-1,9,1,
r1b2knr/p1q5/2p1ppp1/2Pp3p/8/5Q2/P1PN1PPP/1R3K1R w - - 0 18,c2c4,1003,9,1,1001-1500
r1b2knr/p1q5/2p1ppp1/2Pp3p/2P5/5Q2/P2N1PPP/1R3K1R b - - 0 18,g6g5,-1,14,1,
r1b2knr/p1q5/2p1pp2/2Pp2pp/2P5/5Q2/P2N1PPP/1R3K1R w - - 0 19,h2h4,1003,4,1,1001-1500
r1b2knr/p1q5/2p1pp2/2Pp2pp/2P4P/5Q2/P2N1PP1/1R3K1R b - - 0 19,g5g4,-1,9,1,
r1b2knr/p1q5/2p1pp2/2Pp3p/2P3pP/5Q2/P2N1PP1/1R3K1R w - - 0 20,f3a3,1003,1,1,1001-1500
r1b2knr/p1q5/2p1pp2/2Pp3p/2P3pP/Q7/P2N1PP1/1R3K1R b - - 1 20,e6e5,-1,12,1,
r1b2knr/p1q5/2p2p2/2Ppp2p/2P3pP/Q7/P2N1PP1/1R3K1R w - - 0 21,c4d5,1003,6,1,1001-1500
r1b2knr/p1q5/2p2p2/2PPp2p/6pP/Q7/P2N1PP1/1R3K1R b - - 0 21,c6d5,-1,11,1,
r1b2knr/p1q5/5p2/2Ppp2p/6pP/Q7/P2N1PP1/1R3K1R w - - 0 22,f1g1,1003,4,1,1001-1500
r1b2knr/p1q5/5p2/2Ppp2p/6pP/Q7/P2N1PP1/1R4KR b - - 1 22,c8f5,-1,8,1,
r4knr/p1q5/5p2/2Pppb1p/6pP/Q7/P2N1PP1/1R4KR w - - 2 23,b1b3,1003,3,1,1001-1500
r4knr/p1q5/5p2/2Pppb1p/6pP/QR6/P2N1PP1/6KR b - - 3 23,f8f7,-1,11,1,
r5nr/p1q2k2/5p2/2Pppb1p/6pP/QR6/P2N1PP1/6KR w - - 4 24,g1h2,1003,4,1,1001-1500
r5nr/p1q2k2/5p2/2Pppb1p/6pP/QR6/P2N1PPK/7R b - - 5 24,g8e7,-1,16,1,
r6r/p1q1nk2/5p2/2Pppb1p/6pP/QR6/P2N1PPK/7R w - - 6 25,h1c1,1003,5,1,1001-1500
r6r/p1q1nk2/5p2/2Pppb1p/6pP/QR6/P2N1PPK/2R5 b - - 7 25,e5e4,-1,48,0,
r6r/p1q1nk2/5p2/2Pp1b1p/4p1pP/QR6/P2N1PPK/2R5 w - - 0 26,g2g3,1003,22,1,1001-1500
r6r/p1q1nk2/5p2/2Pp1b1p/4p1pP/QR4P1/P2N1P1K/2R5 b - - 0 26,a8b8,-1,24,1,
1r5r/p1q1nk2/5p2/2Pp1b1p/4p1pP/QR4P1/P2N1P1K/2R5 w - - 1 27,b3b8,1003,27,1,1001-1500
1R5r/p1q1nk2/5p2/2Pp1b1p/4p1pP/Q5P1/P2N1P1K/2R5 b - - 0 27,h8b8,-1,13,1,
1r6/p1q1nk2/5p2/2Pp1b1p/4p1pP/Q5P1/P2N1P1K/2R5 w - - 0 28,d2f1,1003,25,1,1001-1500
1r6/p1q1nk2/5p2/2Pp1b1p/4p1pP/Q5P1/P4P1K/2R2N2 b - - 1 28,f5e6,-1,12,1,
1r6/p1q1nk2/4bp2/2Pp3p/4p1pP/Q5P1/P4P1K/2R2N2 w - - 2 29,f1e3,1003,59,1,1001-1500
1r6/p1q1nk2/4bp2/2Pp3p/4p1pP/Q3N1P1/P4P1K/2R5 b - - 3 29,d5d4,-1,1,1,
1r6/p1q1nk2/4bp2/2P4p/3pp1pP/Q3N1P1/P4P1K/2R5 w - - 0 30,e3g2,1003,12,1,1001-1500
1r6/p1q1nk2/4bp2/2P4p/3pp1pP/Q5P1/P4PNK/2R5 b - - 1 30,d4d3,-1,15,1,
1r6/p1q1nk2/4bp2/2P4p/4p1pP/Q2p2P1/P4PNK/2R5 w - - 0 31,g2f4,1003,15,1,1001-1500
1r6/p1q1nk2/4bp2/2P4p/4pNpP/Q2p2P1/P4P1K/2R5 b - - 1 31,c7c6,-1,11,1,
1r6/p3nk2/2q1bp2/2P4p/4pNpP/Q2p2P1/P4P1K/2R5 w - - 2 32,c1e1,1003,30,1,1001-1500
1r6/p3nk2/2q1bp2/2P4p/4pNpP/Q2p2P1/P4P1K/4R3 b - - 3 32,e6f5,-1,5,1,
1r6/p3nk2/2q2p2/2P2b1p/4pNpP/Q2p2P1/P4P1K/4R3 w - - 4 33,f4g2,1003,28,1,1001-1500
1r6/p3nk2/2q2p2/2P2b1p/4p1pP/Q2p2P1/P4PNK/4R3 b - - 5 33,b8b5,-1,21,1,
8/p3nk2/2q2p2/1rP2b1p/4p1pP/Q2p2P1/P4PNK/4R3 w - - 6 34,g2e3,1003,16,1,1001-1500
8/p3nk2/2q2p2/1rP2b1p/4p1pP/Q2pN1P1/P4P1K/4R3 b - - 7 34,c6c5,-1,4,1,
8/p3nk2/5p2/1rq2b1p/4p1pP/Q2pN1P1/P4P1K/4R3 w - - 0 35,a3c5,1003,6,1,1001-1500
8/p3nk2/5p2/1rQ2b1p/4p1pP/3pN1P1/P4P1K/4R3 b - - 0 35,b5c5,-1,6,1,
8/p3nk2/5p2/2r2b1p/4p1pP/3pN1P1/P4P1K/4R3 w - - 0 36,e1b1,1003,8,1,1001-1500
8/p3nk2/5p2/2r2b1p/4p1pP/3pN1P1/P4P1K/1R6 b - - 1 36,f5c8,-1,15,1,
2b5/p3nk2/5p2/2r4p/4p1pP/3pN1P1/P4P1K/1R6 w - - 2 37,h2g2,1003,38,1,1001-1500
2b5/p3nk2/5p2/2r4p/4p1pP/3pN1P1/P4PK1/1R6 b - - 3 37,e7c6,-1,21,1,
2b5/p4k2/2n2p2/2r4p/4p1pP/3pN1P1/P4PK1/1R6 w - - 4 38,b1b2,1003,12,1,1001-1500
2b5/p4k2/2n2p2/2r4p/4p1pP/3pN1P1/PR3PK1/8 b - - 5 38,c6e5,-1,11,1,
2b5/p4k2/5p2/2r1n2p/4p1pP/3pN1P1/PR3PK1/8 w - - 6 39,f2f4,1003,401,1,1001-1500
2b5/p4k2/5p2/2r1n2p/4pPpP/3pN1P1/PR4K1/8 b - f3 0 39,e4f3,-1,627,1,
2b5/p4k2/5p2/2r1n2p/6pP/3pNpP1/PR4K1/8 w - - 0 40,g2f2,1003,4,1,1001-1500
2b5/p4k2/5p2/2r1n2p/6pP/3pNpP1/PR3K2/8 b - - 1 40,e5c4,-1,130,1,
2b5/p4k2/5p2/2r4p/2n3pP/3pNpP1/PR3K2/8 w - - 2 41,b2b8,1003,3,1,1001-1500
1Rb5/p4k2/5p2/2r4p/2n3pP/3pNpP1/P4K2/8 b - - 3 41,d3d2,-1,73,1,
1Rb5/p4k2/5p2/2r4p/2n3pP/4NpP1/P2p1K2/8 w - - 0 42,e3d1,1003,96,1,1001-1500
1Rb5/p4k2/5p2/2r4p/2n3pP/5pP1/P2p1K2/3N4 b - - 1 42,f7e6,-1,41,1,
1Rb5/p7/4kp2/2r4p/2n3pP/5pP1/P2p1K2/3N4 w - - 2 43,a2a4,1003,72,1,1001-1500
1Rb5/p7/4kp2/2r4p/P1n3pP/5pP1/3p1K2/3N4 b - - 0 43,e6e5,-1,4,1,
1Rb5/p7/5p2/2r1k2p/P1n3pP/5pP1/3p1K2/3N4 w - - 1 44,b8a8,1003,178,1,1001-1500
R1b5/p7/5p2/2r1k2p/P1n3pP/5pP1/3p1K2/3N4 b - - 2 44,e5d4,-1,137,1,
R1b5/p7/5p2/2r4p/P1nk2pP/5pP1/3p1K2/3N4 w - - 3 45,a8b8,1003,2714,1,1001-1500
1Rb5/p7/5p2/2r4p/P1nk2pP/5pP1/3p1K2/3N4 b - - 4 45,c8d7,-1,201,1,
1R6/p2b4/5p2/2r4p/P1nk2pP/5pP1/3p1K2/3N4 w - - 5 46,b8d8,1003,126,1,1001-1500
3R4/p2b4/5p2/2r4p/P1nk2pP/5pP1/3p1K2/3N4 b - - 6 46,c5d5,-1,347,1,
3R4/p2b4/5p2/3r3p/P1nk2pP/5pP1/3p1K2/3N4 w - - 7 47,d8f8,1003,481,1,1001-1500
